song_names,artists,artists_id,albums,time_played,duration_ms,track_ids,albums_image,id,genres
Texts Go Green,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-03-01 16:09:21,308820,4FIgHqXd4KkOwxrGeLDYM2,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Flight's Booked,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-03-01 20:49:16,254407,6Yj7Zhxt73uvwFFvzQXdxO,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Secrets,Regard,4ofCBoyEiGSePFAG500xev,Secrets,2023-03-03 17:56:22,176766,66W1rVTnEv86dIkFhoiElg,https://i.scdn.co/image/ab67616d00001e022b79437b4d0aa1145add6bb0,0z3v96iyxiboop7dngb52qob0,"['covertronica', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
TU ME FAJE ASCÌ PAZZ',LIBERATO,4X89u81dkCXBSGo8i2DhMW,LIBERATO,2023-03-03 18:01:17,222289,0YH29GVTcfCZFT317NERcx,https://i.scdn.co/image/ab67616d00001e02d78b16eb47deefcfac65a3b7,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian indie pop', 'r&b italiano', 'rap napoletano']"
Body,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,2023-03-03 18:07:12,163216,21RzyxY3EFaxVy6K4RqaU9,https://i.scdn.co/image/ab67616d00001e02af5e185b80d374b0c6beb10f,0z3v96iyxiboop7dngb52qob0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
Rumble,Skrillex,5he5w2lnU9x7JFhnwcekXX,Quest For Fire,2023-03-03 18:12:08,146571,74fmYjFwt9CqEFAh8ybeBD,https://i.scdn.co/image/ab67616d00001e0220fb9ff375c6e8b920cbb2ca,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
In Da Getto,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,JOSE,2023-03-03 18:14:20,130666,1q0PYXTbDsirp2l74ng6pn,https://i.scdn.co/image/ab67616d00001e02922a7339d969b5f0262580f5,0z3v96iyxiboop7dngb52qob0,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
RATATA,Skrillex,5he5w2lnU9x7JFhnwcekXX,Quest For Fire,2023-03-03 18:16:26,126774,4wteGC0HtLeZWjDcczc4Pw,https://i.scdn.co/image/ab67616d00001e0220fb9ff375c6e8b920cbb2ca,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Where Are Ü Now (with Justin Bieber),Jack Ü,1HxJeLhIuegM3KgvPn8sTa,Skrillex and Diplo present Jack Ü,2023-03-03 18:20:38,250285,66hayvUbTotekKU3H4ta1f,https://i.scdn.co/image/ab67616d00001e0257fc4730e06c9ab20c1e073b,0z3v96iyxiboop7dngb52qob0,"['dance pop', 'edm', 'electro house', 'pop dance']"
Way Back,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-03-03 18:22:37,119314,6aE1kHca8lxdIDMgZwAwfJ,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Real Spring,Skrillex,5he5w2lnU9x7JFhnwcekXX,Real Spring,2023-03-03 18:24:58,129229,4xxOx87AD6mBqU3TsuRfg3,https://i.scdn.co/image/ab67616d00001e02fe12e62a859fe0eeec0d3ae2,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Leave Me Like This,Skrillex,5he5w2lnU9x7JFhnwcekXX,Leave Me Like This,2023-03-03 18:27:38,188571,7vzWtCVhEKDmDkMmT3AiUL,https://i.scdn.co/image/ab67616d00001e02b4690e28c288cb199a41f1a3,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Leggera,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:45:18,185169,5PqnteIl9gHFjsLcKtiOfg,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,"['italian adult pop', 'italian indie pop', 'italian pop', 'turin indie']"
Alma Futura,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 12:59:27,213076,6jegGgwW1MilnwAvnhoORl,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,"['italian adult pop', 'italian indie pop', 'italian pop', 'turin indie']"
Don’t Go,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:26:12,168253,4pNlvXL8f51vWOOQ8lxCWV,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Don’t Get Too Close,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:29:51,244285,3IbCVIJEnsiaDRedhFaWVG,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Michelle Pfeiffer (feat. Tony Effe),Rose Villain,2aya6KuqjXEhHBqYKsTPLs,Michelle Pfeiffer (feat. Tony Effe),2023-02-23 12:17:45,180774,1CGMJZj8kKIuK9kkO2TT7c,https://i.scdn.co/image/ab67616d00001e0245fe89a2dfbd0e009bf4d8a3,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian indie pop', 'milan indie']"
sci@ll@ (feat. Tananai),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-23 12:21:30,184794,53qZFgUIQKnFmdgsSDIYB1,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
BUBBLE (feat. thasup & Salmo),Takagi & Ketra,76UCIJTB0jcJvBaL0CdIqx,BUBBLE (feat. thasup & Salmo),2023-02-23 12:25:02,164327,3fIB4IEcvjlzItwnFUvIBk,https://i.scdn.co/image/ab67616d00001e02298c0e2c8d980a62c77c11be,0z3v96iyxiboop7dngb52qob0,"['italian adult pop', 'italian pop']"
0ffline (feat. bbno$),thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 12:29:09,201094,6ZWsKJdmoYu1oFJbzCmtK9,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
SOLITE PARE (feat. thasup & Sfera Ebbasta),Sick Luke,0hk4xVujcyOr6USD95wcWb,X2,2023-02-23 12:32:38,211660,0PQxC8NHgiKXLK3Zm6QoCj,https://i.scdn.co/image/ab67616d00001e02e45f97fc68a12ca3601b1047,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian indie pop', 'trap italiana']"
